id,name,GN,OS,PE,SV,n,Tax,RepID
GERAB_BACSU/1-365,,,,,,,,
UniRef100_UPI00046A260D/6-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus mannanilyticus TaxID=1418,UPI00046A260D
UniRef100_UPI00046A260D/398-762,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus mannanilyticus TaxID=1418,UPI00046A260D
UniRef100_A0A2N5GEB6/3-361,[subseq from] Spore gernimation protein,,,,,1,Bacillus sp. V3-13 TaxID=2053728,A0A2N5GEB6_9BACI
UniRef100_UPI000C780936/3-361,[subseq from] endospore germination permease,,,,,1,Bacillus sp. V33-4 TaxID=2054169,UPI000C780936
UniRef100_A0A2N5GID9/3-361,[subseq from] Spore gernimation protein,,,,,1,Bacillus canaveralius TaxID=1403243,A0A2N5GID9_9BACI
UniRef100_A0A0Q9Q8M4/3-361,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus sp. Soil766 TaxID=1736404,A0A0Q9Q8M4_9BACL
UniRef100_A0A329M6D9/4-360,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus contaminans TaxID=450362,A0A329M6D9_9BACL
UniRef100_A0A0Q9T0F1/3-362,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus sp. Soil787 TaxID=1736411,A0A0Q9T0F1_9BACL
UniRef100_A0A0D3VB26/3-361,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus sp. IHBB 10380 TaxID=1566358,A0A0D3VB26_9BACL
UniRef100_UPI0012684C03/3-361,[subseq from] endospore germination permease,,,,,1,Bacillus sp. THAF10 TaxID=2587848,UPI0012684C03
UniRef100_A0A3G9J1V2/6-362,[subseq from] Germination protein BB,,,,,1,Paenibacillus baekrokdamisoli TaxID=1712516,A0A3G9J1V2_9BACL
UniRef100_A0A4Y8LZ46/3-361,[subseq from] Spore gernimation protein,,,,,1,Cohnella luojiensis TaxID=652876,A0A4Y8LZ46_9BACL
UniRef100_A0A168NUV9/3-361,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus glacialis TaxID=494026,A0A168NUV9_9BACL
UniRef100_A0A4V3YYN0/13-369,[subseq from] Spore gernimation protein,,,,,3,Bacillus megaterium TaxID=1404,A0A4V3YYN0_BACME
UniRef100_UPI0004BBCD0B/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus TaxID=55087,UPI0004BBCD0B
UniRef100_A0A1G6XE51/12-368,[subseq from] Spore germination protein,,,,,2,Bacillaceae TaxID=186817,A0A1G6XE51_9BACI
UniRef100_UPI000BEC0A74/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BEC0A74
UniRef100_UPI000BA60D15/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BA60D15
UniRef100_A0A1I3A6V2/12-368,[subseq from] Spore germination protein,,,,,1,Bacillus megaterium TaxID=1404,A0A1I3A6V2_BACME
UniRef100_A0A127D2S9/6-359,[subseq from] Spore gernimation protein,,,,,1,Bacillus simplex TaxID=1478,A0A127D2S9_9BACI
UniRef100_A0A1Q8UWH0/4-360,[subseq from] Spore gernimation protein,,,,,2,Bacillus megaterium TaxID=1404,A0A1Q8UWH0_BACME
UniRef100_UPI000BFDE3DE/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BFDE3DE
UniRef100_A0A239MUX2/6-359,[subseq from] Spore germination protein,,,,,1,Bacillus sp. OK838 TaxID=1882762,A0A239MUX2_9BACI
UniRef100_UPI00064CB163/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI00064CB163
UniRef100_UPI00106FDD30/3-359,[subseq from] endospore germination permease,,,,,1,Ammoniphilus sp. YIM 78166 TaxID=1644106,UPI00106FDD30
UniRef100_UPI000BF4EFC4/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BF4EFC4
UniRef100_A0A5C6W6J4/6-361,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus litoralis TaxID=152268,A0A5C6W6J4_9BACI
UniRef100_UPI0009DF1922/17-373,[subseq from] endospore germination permease,,,,,1,Desulfotomaculum nigrificans TaxID=1565,UPI0009DF1922
UniRef100_A0A2B8C1P0/13-369,[subseq from] Spore gernimation protein,,,,,2,Bacillus TaxID=55087,A0A2B8C1P0_BACME
UniRef100_UPI000FD9F7DD/3-359,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Paenibacillus ehimensis TaxID=79264,UPI000FD9F7DD
