id,name,GN,OS,PE,SV,n,Tax,RepID
GERAA_BACSU/1-482,,,,,,,,
UniRef100_A0A0A5FZL7/22-508,[subseq from] Spore germination protein KA,,,,,1,Pontibacillus marinus BH030004 = DSM 16465 TaxID=1385511,A0A0A5FZL7_9BACI
UniRef100_UPI00106FFBC5/28-514,[subseq from] spore germination protein,,,,,1,Ammoniphilus sp. YIM 78166 TaxID=1644106,UPI00106FFBC5
UniRef100_A0A2U1K3Y5/28-513,[subseq from] Spore germination protein,,,,,1,Pueribacillus theae TaxID=2171751,A0A2U1K3Y5_9BACI
UniRef100_UPI00110ED6F6/27-506,[subseq from] spore germination protein,,,,,1,Paenibacillus sp. SYSU_K30004 TaxID=2582849,UPI00110ED6F6
UniRef100_UPI000401E3F9/31-514,[subseq from] spore germination protein,,,,,1,Bacillus sp. FJAT-14578 TaxID=1208600,UPI000401E3F9
UniRef100_A0A3B0C9I7/27-506,[subseq from] Spore germination protein,,,,,1,Paenibacillus ginsengarvi TaxID=400777,A0A3B0C9I7_9BACL
UniRef100_A0A5C4SXJ8/27-506,[subseq from] Spore germination protein,,,,,1,Paenibacillus hemerocallicola TaxID=1172614,A0A5C4SXJ8_9BACL
UniRef100_UPI00063F81E6/30-515,[subseq from] spore germination protein,,,,,1,Aneurinibacillus tyrosinisolvens TaxID=1443435,UPI00063F81E6
UniRef100_A0A1M4ZEZ6/30-506,[subseq from] Spore germination protein KA,,,,,1,Caldanaerobius fijiensis DSM 17918 TaxID=1121256,A0A1M4ZEZ6_9THEO
UniRef100_UPI00034B5FC4/31-515,[subseq from] spore germination protein,,,,,1,Bacillus ligniniphilus TaxID=1134413,UPI00034B5FC4
UniRef100_A0A0Q9HZB3/29-490,[subseq from] Spore gernimation protein KB,,,,,2,Bacillus TaxID=55087,A0A0Q9HZB3_9BACI
UniRef100_A0A1T4JUU3/27-509,[subseq from] Spore germination protein,,,,,1,Selenihalanaerobacter shriftii TaxID=142842,A0A1T4JUU3_9FIRM
UniRef100_A0A4S3PJK4/26-509,[subseq from] Spore germination protein,,,,,1,Bacillus timonensis TaxID=1033734,A0A4S3PJK4_9BACI
UniRef100_A0A2N5GHF5/42-529,[subseq from] Spore germination protein,,,,,3,Bacillus canaveralius TaxID=1403243,A0A2N5GHF5_9BACI
UniRef100_A0A1H8C6H9/28-510,[subseq from] Spore germination protein,,,,,1,Candidatus Frackibacter sp. WG12 TaxID=2017977,A0A1H8C6H9_9FIRM
UniRef100_A0A139CTB5/28-510,[subseq from] Spore germination protein,,,,,1,Candidatus Frackibacter sp. T328-2 TaxID=1785949,A0A139CTB5_9FIRM
UniRef100_UPI000D848488/29-517,[subseq from] spore germination protein,,,,,1,Paenibacillus polymyxa TaxID=1406,UPI000D848488
UniRef100_UPI000C768C98/42-529,[subseq from] spore germination protein,,,,,1,Bacillus sp. V33-4 TaxID=2054169,UPI000C768C98
UniRef100_UPI001266CD2E/30-518,[subseq from] spore germination protein,,,,,1,Paenibacillus brasilensis TaxID=128574,UPI001266CD2E
UniRef100_A0A089IBD9/30-512,[subseq from] Spore gernimation protein KA,,,,,1,Paenibacillus sp. FSL H7-0737 TaxID=1536775,A0A089IBD9_9BACL
UniRef100_A0A5B0WDJ0/30-512,[subseq from] Spore germination protein,,,,,1,Paenibacillus sp. B2(2019) TaxID=2607754,A0A5B0WDJ0_9BACL
